ativo,preco,moeda,horario_coleta
BTC-USD,42477.25390625,USD,2024-01-01 00:00:00+00:00
BTC-USD,42622.8984375,USD,2024-01-01 01:00:00+00:00
BTC-USD,42576.6015625,USD,2024-01-01 02:00:00+00:00
BTC-USD,42320.73046875,USD,2024-01-01 03:00:00+00:00
BTC-USD,42387.1640625,USD,2024-01-01 04:00:00+00:00
BTC-USD,42225.484375,USD,2024-01-01 05:00:00+00:00
BTC-USD,42408.80078125,USD,2024-01-01 06:00:00+00:00
BTC-USD,42466.46875,USD,2024-01-01 07:00:00+00:00
BTC-USD,42546.4140625,USD,2024-01-01 08:00:00+00:00
BTC-USD,42631.41796875,USD,2024-01-01 09:00:00+00:00
BTC-USD,42696.95703125,USD,2024-01-01 10:00:00+00:00
BTC-USD,42687.30859375,USD,2024-01-01 11:00:00+00:00
BTC-USD,42664.109375,USD,2024-01-01 12:00:00+00:00
BTC-USD,42740.578125,USD,2024-01-01 13:00:00+00:00
BTC-USD,42622.375,USD,2024-01-01 14:00:00+00:00
BTC-USD,42780.91796875,USD,2024-01-01 15:00:00+00:00
BTC-USD,42727.890625,USD,2024-01-01 16:00:00+00:00
BTC-USD,42819.28515625,USD,2024-01-01 17:00:00+00:00
BTC-USD,43120.453125,USD,2024-01-01 18:00:00+00:00
BTC-USD,43529.83984375,USD,2024-01-01 19:00:00+00:00
BTC-USD,43677.93359375,USD,2024-01-01 20:00:00+00:00
BTC-USD,43598.37109375,USD,2024-01-01 21:00:00+00:00
BTC-USD,43534.27734375,USD,2024-01-01 22:00:00+00:00
BTC-USD,44150.7109375,USD,2024-01-01 23:00:00+00:00
BTC-USD,45069.9609375,USD,2024-01-02 00:00:00+00:00
BTC-USD,44883.6640625,USD,2024-01-02 01:00:00+00:00
BTC-USD,45398.49609375,USD,2024-01-02 02:00:00+00:00
BTC-USD,45421.73046875,USD,2024-01-02 03:00:00+00:00
BTC-USD,45216.74609375,USD,2024-01-02 04:00:00+00:00
BTC-USD,45206.21875,USD,2024-01-02 05:00:00+00:00
BTC-USD,45270.16796875,USD,2024-01-02 06:00:00+00:00
BTC-USD,45499.88671875,USD,2024-01-02 07:00:00+00:00
BTC-USD,45802.05078125,USD,2024-01-02 08:00:00+00:00
BTC-USD,45712.078125,USD,2024-01-02 09:00:00+00:00
BTC-USD,45564.421875,USD,2024-01-02 10:00:00+00:00
BTC-USD,45443.24609375,USD,2024-01-02 11:00:00+00:00
BTC-USD,45334.21875,USD,2024-01-02 12:00:00+00:00
BTC-USD,45699.88671875,USD,2024-01-02 13:00:00+00:00
BTC-USD,45256.07421875,USD,2024-01-02 14:00:00+00:00
BTC-USD,45201.42578125,USD,2024-01-02 15:00:00+00:00
BTC-USD,45377.76171875,USD,2024-01-02 16:00:00+00:00
BTC-USD,45027.734375,USD,2024-01-02 17:00:00+00:00
BTC-USD,45155.07421875,USD,2024-01-02 18:00:00+00:00
BTC-USD,45065.26171875,USD,2024-01-02 19:00:00+00:00
BTC-USD,44849.109375,USD,2024-01-02 20:00:00+00:00
BTC-USD,45072.69921875,USD,2024-01-02 21:00:00+00:00
BTC-USD,45005.37109375,USD,2024-01-02 22:00:00+00:00
BTC-USD,44951.13671875,USD,2024-01-02 23:00:00+00:00
BTC-USD,45147.28125,USD,2024-01-03 00:00:00+00:00
BTC-USD,45313.44921875,USD,2024-01-03 01:00:00+00:00
BTC-USD,45280.04296875,USD,2024-01-03 02:00:00+00:00
BTC-USD,45264.6171875,USD,2024-01-03 03:00:00+00:00
BTC-USD,45193.87109375,USD,2024-01-03 04:00:00+00:00
BTC-USD,45194.21484375,USD,2024-01-03 05:00:00+00:00
BTC-USD,45361.0859375,USD,2024-01-03 06:00:00+00:00
BTC-USD,45061.01171875,USD,2024-01-03 07:00:00+00:00
BTC-USD,45209.82421875,USD,2024-01-03 08:00:00+00:00
BTC-USD,45350.26953125,USD,2024-01-03 09:00:00+00:00
BTC-USD,45170.87890625,USD,2024-01-03 10:00:00+00:00
