ativo,preco,moeda,horario_coleta
GC=F,2083.199951171875,USD,2024-01-02 05:00:00+00:00
GC=F,2082.699951171875,USD,2024-01-02 06:00:00+00:00
GC=F,2082.10009765625,USD,2024-01-02 07:00:00+00:00
GC=F,2082.199951171875,USD,2024-01-02 08:00:00+00:00
GC=F,2086.10009765625,USD,2024-01-02 09:00:00+00:00
GC=F,2085.0,USD,2024-01-02 10:00:00+00:00
GC=F,2078.199951171875,USD,2024-01-02 11:00:00+00:00
GC=F,2076.89990234375,USD,2024-01-02 12:00:00+00:00
GC=F,2075.10009765625,USD,2024-01-02 13:00:00+00:00
GC=F,2079.39990234375,USD,2024-01-02 14:00:00+00:00
GC=F,2068.199951171875,USD,2024-01-02 15:00:00+00:00
GC=F,2074.89990234375,USD,2024-01-02 16:00:00+00:00
GC=F,2071.5,USD,2024-01-02 17:00:00+00:00
GC=F,2069.89990234375,USD,2024-01-02 18:00:00+00:00
GC=F,2069.60009765625,USD,2024-01-02 19:00:00+00:00
GC=F,2067.10009765625,USD,2024-01-02 20:00:00+00:00
GC=F,2067.60009765625,USD,2024-01-02 21:00:00+00:00
GC=F,2067.800048828125,USD,2024-01-02 23:00:00+00:00
GC=F,2068.699951171875,USD,2024-01-03 00:00:00+00:00
GC=F,2070.60009765625,USD,2024-01-03 01:00:00+00:00
GC=F,2073.0,USD,2024-01-03 02:00:00+00:00
GC=F,2073.39990234375,USD,2024-01-03 03:00:00+00:00
GC=F,2072.89990234375,USD,2024-01-03 04:00:00+00:00
GC=F,2072.5,USD,2024-01-03 05:00:00+00:00
GC=F,2072.699951171875,USD,2024-01-03 06:00:00+00:00
GC=F,2071.300048828125,USD,2024-01-03 07:00:00+00:00
GC=F,2068.300048828125,USD,2024-01-03 08:00:00+00:00
GC=F,2065.0,USD,2024-01-03 09:00:00+00:00
GC=F,2063.0,USD,2024-01-03 10:00:00+00:00
GC=F,2055.699951171875,USD,2024-01-03 11:00:00+00:00
GC=F,2053.60009765625,USD,2024-01-03 12:00:00+00:00
GC=F,2049.0,USD,2024-01-03 13:00:00+00:00
