transaction_id,data_hora,ativo,quantidade,tipo_operacao,moeda,cliente_id,canal,mercado,arquivo_origem,importado_em
BTCX-00000001,2024-01-01 12:45:00+00:00,BTC,0.42,VENDA,USD,C009,ONLINE,US,btc_planilha.xlsx,2025-08-13 20:41:28.730155+00:00
BTCX-00000002,2024-01-01 18:17:00+00:00,BTC,0.01,COMPRA,USD,C001,RETAIL,US,btc_planilha.xlsx,2025-08-13 20:41:28.730267+00:00
BTCX-00000003,2024-01-01 14:17:00+00:00,BTC,0.1,COMPRA,USD,C010,DISTRIB,BR,btc_planilha.xlsx,2025-08-13 20:41:28.730352+00:00
BTCX-00000004,2024-01-01 10:24:00+00:00,BTC,0.07,VENDA,USD,C002,DISTRIB,EU,btc_planilha.xlsx,2025-08-13 20:41:28.730424+00:00
BTCX-00000005,2024-01-01 13:51:00+00:00,BTC,0.03,VENDA,USD,C002,RETAIL,BR,btc_planilha.xlsx,2025-08-13 20:41:28.730494+00:00
BTCX-00000006,2024-01-01 15:05:00+00:00,BTC,0.36,VENDA,USD,C009,RETAIL,EU,btc_planilha.xlsx,2025-08-13 20:41:28.730559+00:00
BTCX-00000007,2024-01-01 14:36:00+00:00,BTC,0.13,COMPRA,USD,C001,ONLINE,EU,btc_planilha.xlsx,2025-08-13 20:41:28.730621+00:00
BTCX-00000008,2024-01-01 12:49:00+00:00,BTC,0.19,COMPRA,USD,C005,ONLINE,BR,btc_planilha.xlsx,2025-08-13 20:41:28.730680+00:00
BTCX-00000009,2024-01-01 15:17:00+00:00,BTC,0.3,VENDA,USD,C003,ONLINE,US,btc_planilha.xlsx,2025-08-13 20:41:28.730741+00:00
BTCX-00000010,2024-01-01 14:13:00+00:00,BTC,0.43,VENDA,USD,C005,RETAIL,EU,btc_planilha.xlsx,2025-08-13 20:41:28.730802+00:00
BTCX-00000011,2024-01-01 19:04:00+00:00,BTC,0.39,COMPRA,USD,C006,RETAIL,EU,btc_planilha.xlsx,2025-08-13 20:41:28.730862+00:00
BTCX-00000012,2024-01-01 12:10:00+00:00,BTC,0.3,VENDA,USD,C002,DISTRIB,EU,btc_planilha.xlsx,2025-08-13 20:41:28.730922+00:00
BTCX-00000013,2024-01-01 20:35:00+00:00,BTC,0.15,VENDA,USD,C004,ONLINE,BR,btc_planilha.xlsx,2025-08-13 20:41:28.730980+00:00
BTCX-00000014,2024-01-01 09:51:00+00:00,BTC,0.21,VENDA,USD,C003,DISTRIB,BR,btc_planilha.xlsx,2025-08-13 20:41:28.731041+00:00
BTCX-00000015,2024-01-01 12:58:00+00:00,BTC,0.37,VENDA,USD,C008,ONLINE,EU,btc_planilha.xlsx,2025-08-13 20:41:28.731111+00:00
BTCX-00000016,2024-01-02 15:56:00+00:00,BTC,0.42,VENDA,USD,C007,ONLINE,US,btc_planilha.xlsx,2025-08-13 20:41:28.731184+00:00
BTCX-00000017,2024-01-02 11:15:00+00:00,BTC,0.48,VENDA,USD,C005,RETAIL,EU,btc_planilha.xlsx,2025-08-13 20:41:28.731251+00:00
BTCX-00000018,2024-01-02 15:57:00+00:00,BTC,0.38,VENDA,USD,C002,DISTRIB,BR,btc_planilha.xlsx,2025-08-13 20:41:28.731315+00:00
BTCX-00000019,2024-01-02 11:32:00+00:00,BTC,0.32,COMPRA,USD,C009,ONLINE,BR,btc_planilha.xlsx,2025-08-13 20:41:28.731382+00:00
BTCX-00000020,2024-01-02 11:40:00+00:00,BTC,0.11,VENDA,USD,C001,RETAIL,BR,btc_planilha.xlsx,2025-08-13 20:41:28.731446+00:00
BTCX-00000021,2024-01-02 15:24:00+00:00,BTC,0.39,VENDA,USD,C002,RETAIL,US,btc_planilha.xlsx,2025-08-13 20:41:28.731509+00:00
BTCX-00000022,2024-01-02 17:55:00+00:00,BTC,0.01,COMPRA,USD,C008,RETAIL,EU,btc_planilha.xlsx,2025-08-13 20:41:28.731572+00:00
BTCX-00000023,2024-01-02 13:49:00+00:00,BTC,0.42,VENDA,USD,C006,ONLINE,US,btc_planilha.xlsx,2025-08-13 20:41:28.731637+00:00
BTCX-00000024,2024-01-02 15:10:00+00:00,BTC,0.3,COMPRA,USD,C007,RETAIL,EU,btc_planilha.xlsx,2025-08-13 20:41:28.731702+00:00
BTCX-00000025,2024-01-02 13:32:00+00:00,BTC,0.49,COMPRA,USD,C010,RETAIL,BR,btc_planilha.xlsx,2025-08-13 20:41:28.731765+00:00
BTCX-00000026,2024-01-02 19:19:00+00:00,BTC,0.41,COMPRA,USD,C004,ONLINE,US,btc_planilha.xlsx,2025-08-13 20:41:28.731829+00:00
BTCX-00000027,2024-01-02 11:34:00+00:00,BTC,0.5,COMPRA,USD,C008,RETAIL,US,btc_planilha.xlsx,2025-08-13 20:41:28.731894+00:00
BTCX-00000028,2024-01-02 16:01:00+00:00,BTC,0.08,VENDA,USD,C007,DISTRIB,BR,btc_planilha.xlsx,2025-08-13 20:41:28.731953+00:00
BTCX-00000029,2024-01-02 09:15:00+00:00,BTC,0.37,COMPRA,USD,C005,ONLINE,EU,btc_planilha.xlsx,2025-08-13 20:41:28.732014+00:00
BTCX-00000030,2024-01-02 16:52:00+00:00,BTC,0.05,COMPRA,USD,C006,ONLINE,EU,btc_planilha.xlsx,2025-08-13 20:41:28.732073+00:00
BTCX-00000031,2024-01-03 17:10:00+00:00,BTC,0.17,VENDA,USD,C007,ONLINE,EU,btc_planilha.xlsx,2025-08-13 20:41:28.732137+00:00
BTCX-00000032,2024-01-03 20:44:00+00:00,BTC,0.13,VENDA,USD,C009,DISTRIB,EU,btc_planilha.xlsx,2025-08-13 20:41:28.732195+00:00
BTCX-00000033,2024-01-03 19:23:00+00:00,BTC,0.29,VENDA,USD,C008,ONLINE,BR,btc_planilha.xlsx,2025-08-13 20:41:28.732251+00:00
BTCX-00000034,2024-01-03 12:04:00+00:00,BTC,0.22,COMPRA,USD,C005,RETAIL,EU,btc_planilha.xlsx,2025-08-13 20:41:28.732309+00:00
BTCX-00000035,2024-01-03 12:37:00+00:00,BTC,0.15,COMPRA,USD,C005,ONLINE,EU,btc_planilha.xlsx,2025-08-13 20:41:28.732373+00:00
BTCX-00000036,2024-01-03 19:03:00+00:00,BTC,0.15,COMPRA,USD,C010,ONLINE,US,btc_planilha.xlsx,2025-08-13 20:41:28.732435+00:00
BTCX-00000037,2024-01-03 10:32:00+00:00,BTC,0.16,VENDA,USD,C002,RETAIL,US,btc_planilha.xlsx,2025-08-13 20:41:28.732497+00:00
BTCX-00000038,2024-01-03 12:34:00+00:00,BTC,0.09,VENDA,USD,C009,ONLINE,US,btc_planilha.xlsx,2025-08-13 20:41:28.732561+00:00
BTCX-00000039,2024-01-03 15:12:00+00:00,BTC,0.07,COMPRA,USD,C004,RETAIL,US,btc_planilha.xlsx,2025-08-13 20:41:28.732625+00:00
BTCX-00000040,2024-01-03 14:27:00+00:00,BTC,0.27,VENDA,USD,C009,RETAIL,BR,btc_planilha.xlsx,2025-08-13 20:41:28.732687+00:00
BTCX-00000041,2024-01-03 19:41:00+00:00,BTC,0.42,COMPRA,USD,C003,ONLINE,US,btc_planilha.xlsx,2025-08-13 20:41:28.732753+00:00
BTCX-00000042,2024-01-03 20:21:00+00:00,BTC,0.07,COMPRA,USD,C006,ONLINE,BR,btc_planilha.xlsx,2025-08-13 20:41:28.732809+00:00
BTCX-00000043,2024-01-03 17:28:00+00:00,BTC,0.09,VENDA,USD,C006,ONLINE,US,btc_planilha.xlsx,2025-08-13 20:41:28.732863+00:00
BTCX-00000044,2024-01-03 16:15:00+00:00,BTC,0.05,VENDA,USD,C001,RETAIL,BR,btc_planilha.xlsx,2025-08-13 20:41:28.732917+00:00
BTCX-00000045,2024-01-03 09:41:00+00:00,BTC,0.35,COMPRA,USD,C009,ONLINE,BR,btc_planilha.xlsx,2025-08-13 20:41:28.732974+00:00
BTCX-00000046,2024-01-04 15:31:00+00:00,BTC,0.31,COMPRA,USD,C010,DISTRIB,BR,btc_planilha.xlsx,2025-08-13 20:41:28.733034+00:00
BTCX-00000047,2024-01-04 11:24:00+00:00,BTC,0.01,VENDA,USD,C006,DISTRIB,US,btc_planilha.xlsx,2025-08-13 20:41:28.733149+00:00
BTCX-00000048,2024-01-04 13:27:00+00:00,BTC,0.45,VENDA,USD,C002,ONLINE,BR,btc_planilha.xlsx,2025-08-13 20:41:28.733244+00:00
BTCX-00000049,2024-01-04 13:13:00+00:00,BTC,0.04,COMPRA,USD,C005,RETAIL,US,btc_planilha.xlsx,2025-08-13 20:41:28.733308+00:00
BTCX-00000050,2024-01-04 09:03:00+00:00,BTC,0.38,VENDA,USD,C009,RETAIL,EU,btc_planilha.xlsx,2025-08-13 20:41:28.733482+00:00
BTCX-00000051,2024-01-04 11:03:00+00:00,BTC,0.33,COMPRA,USD,C006,ONLINE,BR,btc_planilha.xlsx,2025-08-13 20:41:28.733662+00:00
BTCX-00000052,2024-01-04 18:04:00+00:00,BTC,0.44,COMPRA,USD,C001,DISTRIB,BR,btc_planilha.xlsx,2025-08-13 20:41:28.733746+00:00
BTCX-00000053,2024-01-04 18:15:00+00:00,BTC,0.38,COMPRA,USD,C009,RETAIL,BR,btc_planilha.xlsx,2025-08-13 20:41:28.733815+00:00
BTCX-00000054,2024-01-04 15:42:00+00:00,BTC,0.38,VENDA,USD,C003,DISTRIB,BR,btc_planilha.xlsx,2025-08-13 20:41:28.733879+00:00
BTCX-00000055,2024-01-04 19:45:00+00:00,BTC,0.21,COMPRA,USD,C008,DISTRIB,US,btc_planilha.xlsx,2025-08-13 20:41:28.733944+00:00
BTCX-00000056,2024-01-04 11:42:00+00:00,BTC,0.42,VENDA,USD,C010,DISTRIB,US,btc_planilha.xlsx,2025-08-13 20:41:28.734005+00:00
BTCX-00000057,2024-01-04 10:00:00+00:00,BTC,0.3,COMPRA,USD,C004,ONLINE,EU,btc_planilha.xlsx,2025-08-13 20:41:28.734064+00:00
BTCX-00000058,2024-01-04 12:32:00+00:00,BTC,0.17,COMPRA,USD,C008,DISTRIB,BR,btc_planilha.xlsx,2025-08-13 20:41:28.734126+00:00
BTCX-00000059,2024-01-05 14:18:00+00:00,BTC,0.11,VENDA,USD,C003,RETAIL,EU,btc_planilha.xlsx,2025-08-13 20:41:28.734205+00:00
BTCX-00000060,2024-01-05 13:39:00+00:00,BTC,0.42,COMPRA,USD,C001,RETAIL,EU,btc_planilha.xlsx,2025-08-13 20:41:28.734264+00:00
BTCX-00000061,2024-01-05 13:59:00+00:00,BTC,0.43,COMPRA,USD,C006,ONLINE,US,btc_planilha.xlsx,2025-08-13 20:41:28.734321+00:00
BTCX-00000062,2024-01-05 10:56:00+00:00,BTC,0.07,COMPRA,USD,C009,DISTRIB,US,btc_planilha.xlsx,2025-08-13 20:41:28.734376+00:00
BTCX-00000063,2024-01-05 18:13:00+00:00,BTC,0.46,VENDA,USD,C006,ONLINE,EU,btc_planilha.xlsx,2025-08-13 20:41:28.734430+00:00
BTCX-00000064,2024-01-05 19:54:00+00:00,BTC,0.17,VENDA,USD,C007,DISTRIB,BR,btc_planilha.xlsx,2025-08-13 20:41:28.734484+00:00
BTCX-00000065,2024-01-05 10:40:00+00:00,BTC,0.28,VENDA,USD,C008,ONLINE,BR,btc_planilha.xlsx,2025-08-13 20:41:28.734537+00:00
BTCX-00000066,2024-01-05 14:49:00+00:00,BTC,0.09,VENDA,USD,C003,ONLINE,EU,btc_planilha.xlsx,2025-08-13 20:41:28.734590+00:00
BTCX-00000067,2024-01-05 16:35:00+00:00,BTC,0.46,VENDA,USD,C005,RETAIL,BR,btc_planilha.xlsx,2025-08-13 20:41:28.734645+00:00
BTCX-00000068,2024-01-05 10:04:00+00:00,BTC,0.45,COMPRA,USD,C002,RETAIL,BR,btc_planilha.xlsx,2025-08-13 20:41:28.734702+00:00
BTCX-00000069,2024-01-05 14:37:00+00:00,BTC,0.36,COMPRA,USD,C004,DISTRIB,BR,btc_planilha.xlsx,2025-08-13 20:41:28.734758+00:00
BTCX-00000070,2024-01-05 09:19:00+00:00,BTC,0.24,COMPRA,USD,C002,DISTRIB,BR,btc_planilha.xlsx,2025-08-13 20:41:28.734811+00:00
BTCX-00000071,2024-01-05 19:15:00+00:00,BTC,0.43,COMPRA,USD,C005,DISTRIB,EU,btc_planilha.xlsx,2025-08-13 20:41:28.734864+00:00
BTCX-00000072,2024-01-08 18:47:00+00:00,BTC,0.1,COMPRA,USD,C009,ONLINE,BR,btc_planilha.xlsx,2025-08-13 20:41:28.734927+00:00
BTCX-00000073,2024-01-08 15:01:00+00:00,BTC,0.12,VENDA,USD,C003,DISTRIB,EU,btc_planilha.xlsx,2025-08-13 20:41:28.734984+00:00
BTCX-00000074,2024-01-08 20:51:00+00:00,BTC,0.16,VENDA,USD,C004,ONLINE,EU,btc_planilha.xlsx,2025-08-13 20:41:28.735044+00:00
BTCX-00000075,2024-01-08 10:24:00+00:00,BTC,0.03,VENDA,USD,C003,ONLINE,BR,btc_planilha.xlsx,2025-08-13 20:41:28.735098+00:00
BTCX-00000076,2024-01-08 16:22:00+00:00,BTC,0.2,COMPRA,USD,C009,ONLINE,BR,btc_planilha.xlsx,2025-08-13 20:41:28.735154+00:00
BTCX-00000077,2024-01-08 19:12:00+00:00,BTC,0.26,VENDA,USD,C010,DISTRIB,BR,btc_planilha.xlsx,2025-08-13 20:41:28.735210+00:00
BTCX-00000078,2024-01-08 13:22:00+00:00,BTC,0.42,VENDA,USD,C001,RETAIL,EU,btc_planilha.xlsx,2025-08-13 20:41:28.735263+00:00
BTCX-00000079,2024-01-08 14:01:00+00:00,BTC,0.08,VENDA,USD,C007,ONLINE,EU,btc_planilha.xlsx,2025-08-13 20:41:28.735319+00:00
BTCX-00000080,2024-01-08 13:02:00+00:00,BTC,0.07,VENDA,USD,C006,DISTRIB,EU,btc_planilha.xlsx,2025-08-13 20:41:28.735374+00:00
BTCX-00000081,2024-01-08 14:27:00+00:00,BTC,0.39,COMPRA,USD,C007,DISTRIB,EU,btc_planilha.xlsx,2025-08-13 20:41:28.735429+00:00
BTCX-00000082,2024-01-08 12:16:00+00:00,BTC,0.03,VENDA,USD,C002,ONLINE,EU,btc_planilha.xlsx,2025-08-13 20:41:28.735482+00:00
BTCX-00000083,2024-01-08 17:43:00+00:00,BTC,0.47,COMPRA,USD,C010,DISTRIB,US,btc_planilha.xlsx,2025-08-13 20:41:28.735548+00:00
BTCX-00000084,2024-01-08 10:42:00+00:00,BTC,0.22,VENDA,USD,C009,RETAIL,BR,btc_planilha.xlsx,2025-08-13 20:41:28.735606+00:00
BTCX-00000085,2024-01-08 20:57:00+00:00,BTC,0.2,VENDA,USD,C001,RETAIL,US,btc_planilha.xlsx,2025-08-13 20:41:28.735659+00:00
BTCX-00000086,2024-01-09 15:44:00+00:00,BTC,0.19,COMPRA,USD,C006,ONLINE,US,btc_planilha.xlsx,2025-08-13 20:41:28.735722+00:00
BTCX-00000087,2024-01-09 19:24:00+00:00,BTC,0.44,COMPRA,USD,C002,RETAIL,EU,btc_planilha.xlsx,2025-08-13 20:41:28.735776+00:00
BTCX-00000088,2024-01-09 13:25:00+00:00,BTC,0.36,COMPRA,USD,C009,DISTRIB,US,btc_planilha.xlsx,2025-08-13 20:41:28.735829+00:00
BTCX-00000089,2024-01-09 12:27:00+00:00,BTC,0.38,VENDA,USD,C004,DISTRIB,US,btc_planilha.xlsx,2025-08-13 20:41:28.735885+00:00
BTCX-00000090,2024-01-09 16:43:00+00:00,BTC,0.14,VENDA,USD,C008,RETAIL,BR,btc_planilha.xlsx,2025-08-13 20:41:28.735940+00:00
BTCX-00000091,2024-01-09 19:05:00+00:00,BTC,0.19,VENDA,USD,C002,ONLINE,BR,btc_planilha.xlsx,2025-08-13 20:41:28.735999+00:00
BTCX-00000092,2024-01-09 19:19:00+00:00,BTC,0.15,COMPRA,USD,C004,ONLINE,BR,btc_planilha.xlsx,2025-08-13 20:41:28.736057+00:00
BTCX-00000093,2024-01-09 09:15:00+00:00,BTC,0.31,COMPRA,USD,C002,DISTRIB,US,btc_planilha.xlsx,2025-08-13 20:41:28.736115+00:00
BTCX-00000094,2024-01-09 19:36:00+00:00,BTC,0.13,VENDA,USD,C008,DISTRIB,US,btc_planilha.xlsx,2025-08-13 20:41:28.736167+00:00
BTCX-00000095,2024-01-09 12:09:00+00:00,BTC,0.42,COMPRA,USD,C008,ONLINE,US,btc_planilha.xlsx,2025-08-13 20:41:28.736225+00:00
BTCX-00000096,2024-01-09 12:11:00+00:00,BTC,0.45,VENDA,USD,C003,ONLINE,EU,btc_planilha.xlsx,2025-08-13 20:41:28.736277+00:00
BTCX-00000097,2024-01-09 12:58:00+00:00,BTC,0.08,VENDA,USD,C001,ONLINE,US,btc_planilha.xlsx,2025-08-13 20:41:28.736329+00:00
BTCX-00000098,2024-01-09 19:33:00+00:00,BTC,0.36,VENDA,USD,C005,DISTRIB,EU,btc_planilha.xlsx,2025-08-13 20:41:28.736386+00:00
BTCX-00000099,2024-01-09 20:57:00+00:00,BTC,0.33,VENDA,USD,C009,RETAIL,US,btc_planilha.xlsx,2025-08-13 20:41:28.736438+00:00
BTCX-00000100,2024-01-10 20:55:00+00:00,BTC,0.31,VENDA,USD,C003,DISTRIB,BR,btc_planilha.xlsx,2025-08-13 20:41:28.736497+00:00
BTCX-00000101,2024-01-10 19:17:00+00:00,BTC,0.5,VENDA,USD,C002,RETAIL,BR,btc_planilha.xlsx,2025-08-13 20:41:28.736554+00:00
BTCX-00000102,2024-01-10 13:28:00+00:00,BTC,0.05,VENDA,USD,C008,ONLINE,US,btc_planilha.xlsx,2025-08-13 20:41:28.736606+00:00
BTCX-00000103,2024-01-10 14:20:00+00:00,BTC,0.35,COMPRA,USD,C004,ONLINE,BR,btc_planilha.xlsx,2025-08-13 20:41:28.736658+00:00
BTCX-00000104,2024-01-10 12:24:00+00:00,BTC,0.45,COMPRA,USD,C008,RETAIL,BR,btc_planilha.xlsx,2025-08-13 20:41:28.736710+00:00
BTCX-00000105,2024-01-10 10:26:00+00:00,BTC,0.27,VENDA,USD,C004,RETAIL,US,btc_planilha.xlsx,2025-08-13 20:41:28.736762+00:00
BTCX-00000106,2024-01-10 15:03:00+00:00,BTC,0.14,VENDA,USD,C002,DISTRIB,EU,btc_planilha.xlsx,2025-08-13 20:41:28.736818+00:00
BTCX-00000107,2024-01-10 20:01:00+00:00,BTC,0.49,VENDA,USD,C010,DISTRIB,BR,btc_planilha.xlsx,2025-08-13 20:41:28.736871+00:00
BTCX-00000108,2024-01-10 14:19:00+00:00,BTC,0.49,VENDA,USD,C004,DISTRIB,EU,btc_planilha.xlsx,2025-08-13 20:41:28.736926+00:00
BTCX-00000109,2024-01-10 20:47:00+00:00,BTC,0.35,COMPRA,USD,C007,DISTRIB,BR,btc_planilha.xlsx,2025-08-13 20:41:28.736978+00:00
BTCX-00000110,2024-01-10 13:27:00+00:00,BTC,0.32,COMPRA,USD,C008,DISTRIB,US,btc_planilha.xlsx,2025-08-13 20:41:28.737030+00:00
BTCX-00000111,2024-01-10 19:43:00+00:00,BTC,0.26,COMPRA,USD,C006,DISTRIB,BR,btc_planilha.xlsx,2025-08-13 20:41:28.737082+00:00
BTCX-00000112,2024-01-10 18:34:00+00:00,BTC,0.02,VENDA,USD,C005,RETAIL,EU,btc_planilha.xlsx,2025-08-13 20:41:28.737133+00:00
BTCX-00000113,2024-01-11 09:05:00+00:00,BTC,0.42,VENDA,USD,C009,ONLINE,US,btc_planilha.xlsx,2025-08-13 20:41:28.737203+00:00
BTCX-00000114,2024-01-11 11:03:00+00:00,BTC,0.17,VENDA,USD,C003,DISTRIB,BR,btc_planilha.xlsx,2025-08-13 20:41:28.737338+00:00
BTCX-00000115,2024-01-11 16:20:00+00:00,BTC,0.22,VENDA,USD,C010,DISTRIB,US,btc_planilha.xlsx,2025-08-13 20:41:28.737460+00:00
BTCX-00000116,2024-01-11 13:53:00+00:00,BTC,0.06,VENDA,USD,C001,ONLINE,EU,btc_planilha.xlsx,2025-08-13 20:41:28.737541+00:00
BTCX-00000117,2024-01-11 17:03:00+00:00,BTC,0.23,COMPRA,USD,C004,RETAIL,BR,btc_planilha.xlsx,2025-08-13 20:41:28.737616+00:00
BTCX-00000118,2024-01-11 19:02:00+00:00,BTC,0.49,COMPRA,USD,C001,ONLINE,BR,btc_planilha.xlsx,2025-08-13 20:41:28.737686+00:00
BTCX-00000119,2024-01-11 09:39:00+00:00,BTC,0.1,COMPRA,USD,C003,ONLINE,US,btc_planilha.xlsx,2025-08-13 20:41:28.737753+00:00
BTCX-00000120,2024-01-11 19:07:00+00:00,BTC,0.37,COMPRA,USD,C010,DISTRIB,EU,btc_planilha.xlsx,2025-08-13 20:41:28.737816+00:00
