transaction_id,data_hora,commodity_code,quantidade,tipo_operacao,unidade,moeda,cliente_id,canal,mercado,arquivo_origem,importado_em
COM-00000001,2024-01-01 17:20:00+00:00,GOLD,41.0,VENDA,oz,USD,C001,RETAIL,BR,commodities_operacional.sql,2025-08-13 20:41:29.099959+00:00
COM-00000002,2024-01-01 13:32:00+00:00,OIL,14.0,VENDA,bbl,USD,C007,ONLINE,EU,commodities_operacional.sql,2025-08-13 20:41:29.100021+00:00
COM-00000003,2024-01-01 13:36:00+00:00,SILVER,25.0,VENDA,oz,USD,C002,RETAIL,BR,commodities_operacional.sql,2025-08-13 20:41:29.100075+00:00
COM-00000004,2024-01-01 15:12:00+00:00,SILVER,30.0,VENDA,oz,USD,C008,ONLINE,BR,commodities_operacional.sql,2025-08-13 20:41:29.100126+00:00
COM-00000005,2024-01-01 10:01:00+00:00,SILVER,15.0,COMPRA,oz,USD,C004,DISTRIB,EU,commodities_operacional.sql,2025-08-13 20:41:29.100179+00:00
COM-00000006,2024-01-01 15:38:00+00:00,SILVER,31.0,COMPRA,oz,USD,C003,RETAIL,EU,commodities_operacional.sql,2025-08-13 20:41:29.100229+00:00
COM-00000007,2024-01-01 09:48:00+00:00,GOLD,28.0,VENDA,oz,USD,C009,ONLINE,EU,commodities_operacional.sql,2025-08-13 20:41:29.100278+00:00
COM-00000008,2024-01-01 16:22:00+00:00,OIL,43.0,VENDA,bbl,USD,C005,DISTRIB,BR,commodities_operacional.sql,2025-08-13 20:41:29.100326+00:00
COM-00000009,2024-01-01 15:20:00+00:00,GOLD,36.0,COMPRA,oz,USD,C007,ONLINE,BR,commodities_operacional.sql,2025-08-13 20:41:29.100374+00:00
COM-00000010,2024-01-01 15:13:00+00:00,SILVER,26.0,VENDA,oz,USD,C001,RETAIL,US,commodities_operacional.sql,2025-08-13 20:41:29.100421+00:00
COM-00000011,2024-01-01 19:38:00+00:00,GOLD,26.0,VENDA,oz,USD,C001,RETAIL,EU,commodities_operacional.sql,2025-08-13 20:41:29.100467+00:00
COM-00000012,2024-01-01 20:47:00+00:00,OIL,25.0,COMPRA,bbl,USD,C009,ONLINE,EU,commodities_operacional.sql,2025-08-13 20:41:29.100518+00:00
COM-00000013,2024-01-01 19:09:00+00:00,GOLD,22.0,COMPRA,oz,USD,C010,DISTRIB,US,commodities_operacional.sql,2025-08-13 20:41:29.100571+00:00
COM-00000014,2024-01-01 15:05:00+00:00,SILVER,40.0,COMPRA,oz,USD,C002,DISTRIB,BR,commodities_operacional.sql,2025-08-13 20:41:29.100624+00:00
COM-00000015,2024-01-01 16:19:00+00:00,GOLD,27.0,VENDA,oz,USD,C006,DISTRIB,US,commodities_operacional.sql,2025-08-13 20:41:29.100676+00:00
COM-00000016,2024-01-01 11:43:00+00:00,OIL,36.0,COMPRA,bbl,USD,C001,DISTRIB,BR,commodities_operacional.sql,2025-08-13 20:41:29.100727+00:00
COM-00000017,2024-01-01 16:34:00+00:00,OIL,30.0,COMPRA,bbl,USD,C001,RETAIL,EU,commodities_operacional.sql,2025-08-13 20:41:29.100778+00:00
COM-00000018,2024-01-01 18:31:00+00:00,SILVER,41.0,VENDA,oz,USD,C006,DISTRIB,US,commodities_operacional.sql,2025-08-13 20:41:29.100830+00:00
COM-00000019,2024-01-01 13:43:00+00:00,SILVER,28.0,COMPRA,oz,USD,C004,DISTRIB,EU,commodities_operacional.sql,2025-08-13 20:41:29.100882+00:00
COM-00000020,2024-01-01 14:08:00+00:00,SILVER,47.0,VENDA,oz,USD,C003,ONLINE,US,commodities_operacional.sql,2025-08-13 20:41:29.100930+00:00
COM-00000021,2024-01-01 16:50:00+00:00,SILVER,26.0,COMPRA,oz,USD,C002,ONLINE,US,commodities_operacional.sql,2025-08-13 20:41:29.100976+00:00
COM-00000022,2024-01-01 16:26:00+00:00,OIL,45.0,VENDA,bbl,USD,C007,DISTRIB,BR,commodities_operacional.sql,2025-08-13 20:41:29.101022+00:00
COM-00000023,2024-01-01 11:01:00+00:00,OIL,40.0,VENDA,bbl,USD,C009,DISTRIB,US,commodities_operacional.sql,2025-08-13 20:41:29.101071+00:00
COM-00000024,2024-01-01 13:38:00+00:00,GOLD,38.0,VENDA,oz,USD,C009,ONLINE,US,commodities_operacional.sql,2025-08-13 20:41:29.101123+00:00
COM-00000025,2024-01-02 14:48:00+00:00,GOLD,40.0,COMPRA,oz,USD,C007,RETAIL,BR,commodities_operacional.sql,2025-08-13 20:41:29.101180+00:00
COM-00000026,2024-01-02 18:37:00+00:00,GOLD,13.0,COMPRA,oz,USD,C002,RETAIL,EU,commodities_operacional.sql,2025-08-13 20:41:29.101231+00:00
COM-00000027,2024-01-02 18:54:00+00:00,GOLD,27.0,COMPRA,oz,USD,C004,DISTRIB,US,commodities_operacional.sql,2025-08-13 20:41:29.101285+00:00
COM-00000028,2024-01-02 14:46:00+00:00,OIL,42.0,COMPRA,bbl,USD,C003,ONLINE,EU,commodities_operacional.sql,2025-08-13 20:41:29.101337+00:00
